StudentID,Gender,Age,Major,MathGrade,ScienceGrade,EnglishGrade,AttendancePercentage,StudyHoursPerWeek,OverallStatus,EnrollmentDate
STU0078,Male,19,Chemistry,67.49,71.45,82.39,95.81,9.9,Pass,2023-12-09
STU0079,Male,19,Biology,68.13,70.93,86.23,62.44,14.2,Pass,2021-11-06
STU0080,Other,21,English,79.05,73.46,82.67,77.72,22.9,Pass,2021-12-19
STU0081,Female,16,Psychology,74.44,62.26,77.26,94.7,23.3,Pass,2021-06-17
STU0082,Other,17,Mechanical Engineering,75.8,69.82,65.15,79.54,12.0,Pass,2024-05-30
STU0083,Other,21,Physics,75.98,90.31,82.68,96.12,17.5,Pass,2021-10-17
STU0084,Other,17,Mathematics,73.47,89.83,83.01,91.06,13.0,Pass,2021-01-06
STU0085,Female,19,Chemistry,61.77,67.63,72.53,93.02,9.9,Pass,2023-10-08
STU0086,Male,21,Psychology,86.31,84.33,74.16,70.69,10.7,Pass,2022-05-13
STU0087,Female,19,Chemistry,81.92,84.96,82.44,74.34,12.5,Pass,2020-02-12
STU0088,Male,16,Mechanical Engineering,79.63,46.46,73.21,68.5,28.7,Pass,2021-05-07
STU0089,Other,17,Physics,68.08,77.32,73.86,99.22,19.8,Pass,2024-02-01
STU0090,Male,16,Computer Science,74.09,83.13,84.59,80.05,12.9,Pass,2022-03-15
STU0091,Female,22,Physics,68.88,65.85,86.94,89.42,28.1,Pass,2020-04-08
STU0092,Female,17,Psychology,67.37,75.98,86.7,77.91,21.0,Pass,2022-09-01
STU0093,Male,21,Civil Engineering,71.38,92.07,71.87,84.09,22.1,Pass,2020-02-09
STU0094,Other,22,Physics,86.77,70.98,78.79,93.44,19.3,Pass,2023-07-23
STU0095,Female,18,Computer Science,65.48,58.55,57.79,63.91,29.3,Pass,2022-06-30
STU0096,Other,21,Physics,97.29,76.69,87.76,80.94,17.2,Pass,2023-12-26
STU0097,Female,16,Psychology,77.55,82.91,90.96,72.79,22.2,Pass,2022-01-09
STU0098,Other,20,Mechanical Engineering,81.66,85.21,86.08,69.31,21.3,Pass,2022-04-18
STU0099,Female,21,English,67.89,78.02,79.5,70.34,8.6,Pass,2021-06-28
STU0100,Other,18,Economics,92.42,74.22,78.8,97.11,21.0,Pass,2020-09-22
STU0101,Male,19,Mathematics,83.82,46.89,85.46,71.07,15.7,Pass,2024-06-27
STU0102,Other,22,Psychology,70.37,59.3,83.06,88.71,13.6,Pass,2023-11-08
STU0103,Female,18,Computer Science,73.82,48.31,95.88,93.17,23.2,Pass,2021-08-31
STU0104,Female,18,Mathematics,65.21,46.44,82.14,73.47,6.1,Pass,2024-02-14
STU0105,Male,21,Economics,75.01,70.58,90.44,90.04,10.8,Pass,2024-08-14
STU0106,Female,17,Psychology,60.04,71.15,81.43,88.96,23.3,Pass,2024-04-29
STU0107,Other,22,Civil Engineering,82.33,56.95,79.66,67.51,8.2,Pass,2022-09-16
STU0108,Other,20,Biology,70.21,57.51,82.54,94.9,17.1,Pass,2022-04-12
STU0109,Female,18,Economics,79.37,65.37,66.03,96.99,26.5,Pass,2023-08-05
STU0110,Male,18,Physics,90.92,53.78,93.7,90.23,29.0,Pass,2023-11-09
STU0111,Male,20,Economics,71.55,77.51,65.56,66.79,6.5,Pass,2022-08-29
STU0112,Male,18,Mathematics,82.1,61.0,81.2,97.21,19.0,Pass,2023-06-15
STU0113,Other,20,Economics,69.86,74.87,78.03,81.09,22.6,Pass,2024-01-24
STU0114,Female,22,Mathematics,76.45,52.68,75.4,94.69,12.0,Pass,2021-12-02
STU0115,Male,18,Mathematics,81.94,62.19,80.33,80.94,10.9,Pass,2024-05-16
STU0116,Female,18,Psychology,80.37,58.21,84.52,89.08,17.3,Pass,2020-09-06
STU0117,Male,22,Psychology,61.14,66.27,79.92,76.08,15.4,Pass,2022-09-28
STU0118,Male,16,Computer Science,94.58,59.14,84.48,70.97,16.1,Pass,2022-07-19
STU0119,Other,18,Economics,93.77,92.26,84.4,67.99,10.5,Pass,2023-12-26
STU0120,Male,21,History,86.47,99.64,82.23,77.05,6.0,Pass,2021-09-25
STU0121,Other,18,Biology,86.26,72.63,80.47,65.03,24.2,Pass,2021-07-19
STU0122,Other,19,History,65.09,54.82,92.49,75.02,15.9,Pass,2023-03-08
STU0123,Male,19,Computer Science,64.13,77.23,67.58,88.67,5.4,Pass,2020-09-20
STU0124,Male,20,History,71.21,54.66,63.29,81.12,11.6,Fail,2024-03-01
STU0125,Other,21,Electrical Engineering,64.94,48.05,73.62,74.36,10.5,Fail,2021-10-11
STU0126,Female,16,Electrical Engineering,73.76,50.69,77.63,71.51,8.2,Pass,2023-08-27
STU0127,Female,17,Psychology,90.11,90.56,88.98,97.02,9.1,Pass,2020-03-05
STU0128,Other,18,Psychology,61.45,76.78,70.44,80.36,16.5,Pass,2020-06-30
STU0129,Other,17,Computer Science,69.55,85.68,79.21,60.07,17.6,Pass,2022-12-29
STU0130,Female,22,Biology,63.98,81.39,89.82,79.8,12.9,Pass,2023-03-30
STU0131,Female,16,Chemistry,71.17,89.84,72.47,80.42,12.0,Pass,2022-02-27
STU0132,Other,19,Economics,86.45,95.15,85.7,96.9,20.7,Pass,2020-06-25
STU0133,Female,19,Electrical Engineering,75.59,72.65,64.59,64.82,25.0,Pass,2022-09-11
STU0134,Female,16,Physics,60.53,62.87,85.21,96.5,21.3,Pass,2022-05-08
STU0135,Female,21,Mathematics,90.73,84.14,87.89,72.85,11.4,Pass,2023-10-03
STU0136,Female,19,Electrical Engineering,73.62,79.18,76.15,83.99,17.0,Pass,2023-09-01
STU0137,Female,20,Chemistry,87.0,81.52,82.95,79.51,6.4,Pass,2024-08-02
STU0138,Female,18,English,91.91,89.83,80.6,60.95,9.4,Pass,2022-01-04
STU0139,Female,17,Economics,69.6,67.52,77.45,62.91,10.8,Pass,2021-02-12
STU0140,Female,16,Computer Science,75.32,67.7,84.57,83.61,9.9,Pass,2024-12-12
STU0141,Other,18,Mechanical Engineering,69.3,61.7,68.93,77.99,26.4,Pass,2023-10-03
STU0142,Female,20,Psychology,65.45,79.18,89.83,88.53,24.5,Pass,2024-02-07
STU0143,Male,21,Economics,92.71,64.34,80.97,67.1,23.2,Pass,2021-08-03
STU0144,Female,17,Physics,84.86,81.13,90.27,89.1,22.1,Pass,2022-11-29
STU0145,Male,18,Physics,65.23,67.07,80.73,72.3,29.2,Pass,2020-07-01
STU0146,Male,16,Physics,86.35,63.53,81.51,68.71,12.0,Pass,2024-03-07
STU0147,Female,18,Civil Engineering,84.42,93.11,81.47,94.76,14.8,Pass,2020-10-28
STU0148,Female,22,Biology,79.06,88.2,75.75,79.67,10.1,Pass,2022-07-23
STU0149,Female,16,Computer Science,77.99,68.63,79.64,77.43,13.1,Pass,2023-11-29
STU0150,Female,21,Psychology,68.53,89.38,79.03,61.83,15.1,Pass,2024-01-20
STU0151,Female,22,Civil Engineering,66.17,80.0,86.51,60.04,14.7,Pass,2024-02-21
STU0152,Other,16,Computer Science,48.73,61.81,83.04,71.74,24.8,Pass,2020-08-17
STU0153,Female,21,Civil Engineering,78.89,65.74,77.23,79.82,22.4,Pass,2021-01-31
STU0154,Other,22,History,60.96,69.57,78.05,88.74,26.1,Pass,2023-11-06
STU0155,Other,16,Electrical Engineering,87.97,72.1,77.38,79.41,21.7,Pass,2023-11-21
STU0156,Other,22,Electrical Engineering,82.91,73.3,85.75,99.9,28.7,Pass,2020-03-26
STU0157,Female,19,Economics,86.3,87.1,81.18,98.43,25.8,Pass,2021-12-21
STU0158,Male,18,History,76.03,70.68,73.86,75.97,20.2,Pass,2021-03-13
STU0159,Female,18,Physics,76.94,62.13,75.9,88.95,11.6,Pass,2023-02-22
STU0160,Female,16,Mechanical Engineering,72.67,77.71,89.53,88.44,19.4,Pass,2020-06-03
STU0161,Male,18,History,77.8,77.16,83.18,94.07,24.6,Pass,2024-09-09
STU0162,Male,22,English,75.99,86.15,82.51,66.08,19.1,Pass,2023-12-04
STU0163,Female,16,Biology,83.16,80.53,86.05,87.88,20.4,Pass,2024-03-20
STU0164,Female,19,Psychology,76.31,59.57,83.87,89.5,23.5,Pass,2020-06-19
STU0165,Male,16,Computer Science,72.3,81.01,69.0,96.18,10.6,Pass,2020-05-28
STU0166,Female,21,Computer Science,83.15,65.11,91.72,77.71,7.5,Pass,2022-02-21
STU0167,Male,20,Physics,67.4,83.22,67.42,70.66,12.5,Pass,2021-04-29
STU0168,Female,20,Biology,74.97,87.68,79.92,62.62,24.9,Pass,2024-07-27
STU0169,Other,19,Computer Science,90.12,64.88,83.4,70.62,24.2,Pass,2021-10-05
STU0170,Male,21,Mechanical Engineering,86.89,95.41,85.09,66.02,18.6,Pass,2022-06-25
STU0171,Male,22,Economics,65.13,53.76,65.91,74.39,11.0,Fail,2024-05-21
STU0172,Female,19,Mathematics,71.36,76.3,94.65,99.43,11.4,Pass,2022-06-19
STU0173,Female,17,Mathematics,63.7,94.23,60.63,81.42,14.1,Pass,2023-06-15
STU0174,Other,22,English,90.3,77.39,79.25,82.06,27.5,Pass,2023-06-12
STU0175,Male,20,Psychology,63.27,63.4,79.09,83.28,13.5,Pass,2020-07-21
STU0176,Other,18,Mechanical Engineering,75.52,76.02,73.35,94.07,27.3,Pass,2022-04-05
STU0177,Female,22,Electrical Engineering,74.79,44.4,89.49,81.52,19.0,Pass,2021-07-21
STU0178,Female,22,Computer Science,77.33,60.97,83.57,69.44,6.9,Pass,2020-03-12
STU0179,Female,16,Economics,95.2,79.29,85.91,90.72,12.5,Pass,2022-12-24
STU0180,Male,17,Physics,64.91,74.5,78.55,76.8,11.1,Pass,2021-04-02
STU0181,Male,19,Mathematics,64.92,77.51,96.21,81.05,24.4,Pass,2021-03-28
STU0182,Male,19,Mechanical Engineering,77.68,69.32,72.03,64.99,25.4,Pass,2023-09-10
STU0183,Other,22,Computer Science,82.16,75.22,65.54,78.97,24.0,Pass,2024-05-27
STU0184,Other,22,Computer Science,78.07,69.23,75.48,62.35,9.9,Pass,2024-08-01
STU0185,Female,16,Computer Science,84.08,61.02,79.92,61.26,21.4,Pass,2023-03-21
STU0186,Other,20,Economics,78.58,81.43,75.74,76.59,10.2,Pass,2021-08-09
STU0187,Male,16,History,60.27,69.28,70.71,93.01,23.2,Pass,2023-11-23
STU0188,Male,21,Electrical Engineering,87.01,83.76,86.68,95.96,6.7,Pass,2021-05-08
STU0189,Female,17,Physics,70.79,77.53,75.17,63.93,9.1,Pass,2024-01-31
STU0190,Female,20,Civil Engineering,80.07,73.63,76.74,98.12,26.4,Pass,2020-05-07
STU0191,Other,19,Electrical Engineering,75.24,64.57,74.3,95.14,9.1,Pass,2022-01-27
STU0192,Other,21,Economics,63.93,72.12,80.8,69.39,26.2,Pass,2024-09-21
STU0193,Female,20,Computer Science,89.52,83.72,82.52,89.4,26.9,Pass,2021-06-25
STU0194,Male,21,Computer Science,80.92,81.51,80.14,84.15,17.1,Pass,2021-09-05
STU0195,Other,21,Chemistry,74.31,70.76,85.16,93.15,29.9,Pass,2020-01-03
STU0196,Male,20,Biology,79.79,72.15,70.48,69.39,12.2,Pass,2024-10-02
STU0197,Male,18,Psychology,88.38,65.9,91.72,87.46,10.2,Pass,2022-01-11
STU0198,Male,20,Mechanical Engineering,82.21,89.51,78.35,72.39,7.9,Pass,2021-01-08
STU0199,Female,21,English,54.89,87.52,85.74,63.03,21.7,Pass,2023-06-29
STU0200,Other,17,Biology,69.95,80.8,78.63,89.53,17.0,Pass,2021-11-25
STU0201,Male,18,Biology,51.95,51.78,80.41,97.68,8.1,Pass,2023-10-17
STU0202,Other,19,Civil Engineering,71.2,55.27,81.53,66.18,18.2,Pass,2020-07-25
STU0203,Other,22,Physics,84.89,76.63,72.38,77.46,29.5,Pass,2024-01-03
STU0204,Male,17,Electrical Engineering,72.81,96.48,84.18,69.03,6.1,Pass,2021-11-11
STU0205,Male,21,Biology,59.65,58.77,86.48,92.11,9.8,Pass,2021-10-24
STU0206,Male,22,Computer Science,96.76,67.35,80.92,77.9,6.8,Pass,2021-05-12
STU0207,Female,18,Chemistry,57.51,89.54,89.12,76.13,14.8,Pass,2021-03-02
STU0208,Female,18,History,82.07,76.19,88.5,98.37,5.6,Pass,2022-08-28
STU0209,Female,22,Mechanical Engineering,61.52,57.01,70.14,78.81,23.4,Pass,2024-08-10
STU0210,Male,18,Economics,66.6,72.4,76.44,65.77,10.9,Pass,2024-01-11
STU0211,Female,20,History,62.49,71.76,80.85,71.05,25.9,Pass,2023-02-23
STU0212,Female,18,History,71.48,80.17,89.27,87.69,14.9,Pass,2024-10-28
STU0213,Female,22,Mechanical Engineering,75.41,84.08,80.05,82.22,6.0,Pass,2021-06-21
STU0214,Female,18,Computer Science,77.69,77.11,82.91,90.74,23.5,Pass,2023-01-29
STU0215,Female,19,Computer Science,78.76,62.86,82.08,70.78,9.8,Pass,2021-12-24
STU0216,Male,16,Economics,82.46,68.65,83.37,80.12,29.1,Pass,2021-07-11
STU0217,Male,21,Mathematics,85.71,80.91,71.21,82.31,12.2,Pass,2020-05-15
STU0218,Female,21,Physics,65.75,70.64,73.17,88.33,13.6,Pass,2022-07-28
STU0219,Male,22,History,68.34,77.37,68.67,82.45,27.1,Pass,2023-03-25
STU0220,Other,16,Mechanical Engineering,58.44,73.63,69.16,91.48,27.2,Pass,2022-05-17
STU0221,Female,17,English,63.3,71.04,80.48,71.62,6.5,Pass,2022-07-29
STU0222,Other,21,Physics,79.43,67.23,75.61,77.11,16.9,Pass,2020-06-23
STU0223,Female,20,English,71.14,88.29,74.21,66.36,25.8,Pass,2023-05-12
STU0224,Male,16,Psychology,78.78,83.5,82.46,93.44,9.8,Pass,2021-04-12
STU0225,Other,22,Mathematics,85.64,52.46,78.92,89.67,26.4,Pass,2020-02-27
STU0226,Female,18,Biology,77.86,62.25,73.28,65.67,10.3,Pass,2022-01-27
STU0227,Male,18,Electrical Engineering,89.03,58.03,82.89,79.65,28.7,Pass,2023-10-03
STU0228,Male,20,Electrical Engineering,74.61,84.89,81.98,60.96,20.3,Pass,2024-03-29
STU0229,Male,19,Economics,84.3,56.58,78.43,60.83,24.2,Pass,2021-09-27
STU0230,Male,20,Mathematics,68.16,62.52,79.56,72.27,5.1,Pass,2023-07-21
STU0231,Other,18,Civil Engineering,73.5,66.37,73.24,76.4,29.3,Pass,2021-08-18
STU0232,Male,16,Mechanical Engineering,73.45,74.39,65.33,61.95,24.6,Pass,2022-08-11
STU0233,Female,16,English,71.3,71.68,74.51,65.28,25.8,Pass,2022-09-19
STU0234,Female,17,Electrical Engineering,86.17,53.62,75.7,66.06,10.0,Pass,2023-06-29
STU0235,Male,17,Electrical Engineering,82.83,65.88,69.65,75.05,7.0,Pass,2020-11-24
STU0236,Male,18,Mathematics,81.95,60.51,72.13,98.27,6.8,Pass,2020-10-03
STU0237,Male,17,Biology,86.53,57.87,72.85,76.47,13.6,Pass,2024-11-19
STU0238,Male,19,English,95.63,91.49,86.77,93.23,9.1,Pass,2024-04-26
STU0239,Female,17,Chemistry,64.08,63.31,78.73,76.36,26.7,Pass,2023-10-01
STU0240,Male,21,Electrical Engineering,71.16,72.51,82.85,62.94,25.5,Pass,2021-11-09
STU0241,Other,17,Electrical Engineering,79.66,56.11,77.79,87.18,21.0,Pass,2023-03-01
STU0242,Other,21,English,82.71,74.23,87.05,75.29,19.5,Pass,2023-03-04
STU0243,Female,19,Physics,78.8,65.77,78.58,76.16,20.0,Pass,2022-06-21
STU0244,Other,21,Civil Engineering,67.05,85.75,83.99,76.78,20.6,Pass,2021-02-01
STU0245,Female,18,History,73.91,72.38,74.26,80.92,24.9,Pass,2024-06-06
STU0246,Female,22,Civil Engineering,94.99,100.0,73.36,79.34,5.8,Pass,2024-06-06
STU0247,Other,16,History,64.9,74.21,71.19,76.02,25.7,Pass,2020-01-19
STU0248,Other,22,Mechanical Engineering,67.21,82.43,82.58,86.15,27.6,Pass,2023-03-01
STU0249,Female,22,Chemistry,71.22,75.01,83.11,85.2,7.8,Pass,2023-10-13
STU0250,Other,16,English,91.35,63.28,77.59,99.37,23.0,Pass,2022-07-29
STU0251,Other,20,Computer Science,66.76,69.22,78.44,79.64,12.4,Pass,2020-05-18
STU0252,Male,16,Biology,74.74,70.2,59.91,95.98,5.1,Pass,2020-04-16
STU0253,Other,17,Physics,58.84,85.91,74.52,70.77,9.5,Pass,2024-07-16
STU0254,Male,17,English,80.44,52.88,91.91,98.53,29.5,Pass,2024-03-21
STU0255,Male,21,Physics,72.7,70.65,73.36,68.54,23.1,Pass,2023-07-04
STU0256,Other,19,History,75.4,60.89,85.17,97.3,18.0,Pass,2021-10-17
STU0257,Other,16,Civil Engineering,86.56,66.22,68.57,70.23,23.1,Pass,2023-02-04
STU0258,Female,19,Economics,86.24,64.7,78.11,74.97,22.1,Pass,2023-08-23
STU0259,Male,20,Computer Science,66.59,68.45,77.25,90.71,15.1,Pass,2020-09-19
STU0260,Female,19,English,81.28,83.7,77.56,77.05,21.5,Pass,2024-02-05
STU0261,Other,20,History,72.96,71.73,77.14,80.21,24.4,Pass,2022-09-17
STU0262,Male,18,Physics,67.22,96.14,67.4,87.49,27.9,Pass,2021-07-29
STU0263,Other,18,Mathematics,72.71,60.7,76.32,81.92,6.5,Pass,2022-12-18
STU0264,Female,19,History,81.1,77.26,63.22,80.07,14.1,Pass,2021-08-22
STU0265,Female,18,Electrical Engineering,82.33,75.8,69.41,60.06,22.2,Pass,2020-01-20
STU0266,Female,17,Chemistry,74.83,77.94,76.04,62.23,24.1,Pass,2023-03-25
STU0267,Female,16,History,89.05,68.19,81.77,98.34,9.3,Pass,2024-12-06
STU0268,Other,17,Physics,67.59,72.56,85.46,62.14,21.6,Pass,2024-08-01
STU0269,Female,16,Civil Engineering,74.96,89.15,68.94,97.1,9.8,Pass,2020-10-12
STU0270,Female,18,Physics,54.81,74.0,77.57,65.37,10.5,Pass,2024-03-23
STU0271,Female,19,Electrical Engineering,86.11,35.86,88.6,81.79,21.2,Pass,2024-03-21
STU0272,Other,21,Computer Science,71.62,70.01,78.61,74.34,29.5,Pass,2022-10-09
STU0273,Female,17,Biology,94.79,85.17,81.93,63.31,26.4,Pass,2022-04-02
STU0274,Other,18,Physics,78.09,81.44,75.39,83.42,18.3,Pass,2022-09-13
STU0275,Female,17,Mechanical Engineering,84.43,61.32,87.51,65.3,13.1,Pass,2021-12-10
STU0276,Other,19,Mechanical Engineering,81.42,69.54,78.64,64.02,13.5,Pass,2022-05-22
STU0277,Female,19,English,78.36,79.61,100.0,93.72,20.0,Pass,2020-01-18
STU0278,Female,17,Mathematics,56.81,65.88,87.83,92.28,26.6,Pass,2021-01-25
STU0279,Male,21,Civil Engineering,86.02,85.6,81.53,79.57,28.5,Pass,2021-01-21
STU0280,Other,17,Mathematics,64.41,72.23,85.07,90.38,17.2,Pass,2022-10-20
STU0281,Male,18,Biology,77.55,77.29,83.61,85.34,26.6,Pass,2022-07-15
STU0282,Male,20,Civil Engineering,73.25,56.48,67.79,89.03,27.9,Pass,2024-08-19
STU0283,Female,18,Physics,75.95,64.57,77.95,60.2,9.1,Pass,2022-04-04
STU0284,Male,16,Psychology,79.58,47.98,74.37,75.35,22.2,Pass,2020-08-04
STU0285,Other,18,Economics,64.73,73.99,88.71,97.29,23.7,Pass,2021-12-03
STU0286,Female,22,Psychology,88.41,79.6,91.76,91.89,24.7,Pass,2021-04-05
STU0287,Female,16,Civil Engineering,89.58,71.18,80.02,86.21,10.1,Pass,2022-10-01
STU0288,Other,22,Economics,70.08,68.52,86.48,85.19,8.4,Pass,2023-02-09
STU0289,Female,19,Mathematics,75.94,60.06,83.2,77.88,20.5,Pass,2021-03-14
STU0290,Male,17,Computer Science,73.96,62.57,94.07,88.28,19.6,Pass,2022-11-08
STU0291,Other,17,Computer Science,83.06,74.63,79.56,85.53,23.6,Pass,2022-02-17
STU0292,Male,18,Mechanical Engineering,50.37,72.98,83.94,98.3,15.9,Pass,2022-10-16
STU0293,Female,21,Civil Engineering,80.75,71.79,79.08,89.13,24.9,Pass,2024-11-10
STU0294,Female,18,English,62.74,71.23,73.41,69.06,11.4,Pass,2022-08-25
STU0295,Female,22,Physics,87.44,84.23,76.66,76.56,5.8,Pass,2020-01-21
STU0296,Female,18,Biology,86.4,80.2,62.85,87.1,6.1,Pass,2021-05-24
STU0297,Female,20,Biology,77.86,38.4,87.89,71.58,6.3,Pass,2024-12-26
STU0298,Female,20,Electrical Engineering,73.72,53.8,72.78,70.14,17.2,Pass,2022-03-07
